 2026-02-06 09:31:30 | From: !433c5f90 | To: ^all | @w2r	Moist,+007.88,+008.11,+007.83,+007.32,+007.45,+008.18,+007.78,+009.16	Temp,+010.83,+011.10,+011.34,+011.98,+011.42,+011.00,+011.50,+011.89	Batt,4.55

2026-02-06 09:31:32 | From: !699ae830 | To: !433c5f90 | 
2026-02-06 09:31:47 | From: !699ae1dc | To: ^all | 
2026-02-06 09:32:31 | From: !db29eac0 | To: ^all | @w3r	Moist,+001.51,+007.40,+005.20,+003.17,+005.18,+002.63,+003.72,+001.68	Temp,+018.77,+018.75,+018.79,+018.89,+019.13,+019.27,+019.46,+019.75	Batt,2.89

2026-02-06 09:32:31 | From: !db29eac0 | To: ^all | 
2026-02-06 09:32:44 | From: !699ae1dc | To: ^all | 
2026-02-06 09:33:50 | From: !699ae1dc | To: ^all | 
2026-02-06 09:34:50 | From: !699ae1dc | To: ^all | 
2026-02-06 09:35:50 | From: !699ae1dc | To: ^all | 
2026-02-06 09:36:59 | From: !699ae1dc | To: ^all | 
2026-02-06 09:37:57 | From: !699ae1dc | To: ^all | 
2026-02-06 09:38:58 | From: !699ae1dc | To: ^all | 
2026-02-06 09:39:56 | From: !699ae1dc | To: ^all | 
2026-02-06 09:40:55 | From: !699ae1dc | To: ^all | 
2026-02-06 09:42:02 | From: !699ae1dc | To: ^all | 
2026-02-06 09:43:08 | From: !699ae1dc | To: ^all | 
2026-02-06 09:43:13 | From: !699ae1dc | To: ^all | 
2026-02-06 09:44:01 | From: !699ae1dc | To: ^all | 
2026-02-06 09:44:59 | From: !699ae1dc | To: ^all | 
2026-02-06 09:45:55 | From: !699ae1dc | To: ^all | 
2026-02-06 09:46:57 | From: !699ae1dc | To: ^all | 
2026-02-06 09:48:00 | From: !699ae1dc | To: ^all | 
2026-02-06 09:48:57 | From: !699ae1dc | To: ^all | 
2026-02-06 09:49:58 | From: !699ae1dc | To: ^all | 
2026-02-06 09:50:59 | From: !699ae1dc | To: ^all | 
2026-02-06 09:51:56 | From: !699ae1dc | To: ^all | 
2026-02-06 09:52:59 | From: !699ae1dc | To: ^all | 
2026-02-06 09:53:57 | From: !699ae1dc | To: ^all | 
2026-02-06 09:54:59 | From: !699ae1dc | To: ^all | 
2026-02-06 09:55:58 | From: !699ae1dc | To: ^all | 
2026-02-06 09:56:57 | From: !699ae1dc | To: ^all | 
2026-02-06 09:58:08 | From: !699ae1dc | To: ^all | 
2026-02-06 09:58:14 | From: !699ae1dc | To: ^all | 
2026-02-06 09:58:58 | From: !699ae1dc | To: ^all | 
2026-02-06 10:00:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:00:58 | From: !699ae1dc | To: ^all | 
2026-02-06 10:01:58 | From: !699ae1dc | To: ^all | 
2026-02-06 10:03:03 | From: !699ae1dc | To: ^all | 
2026-02-06 10:03:57 | From: !699ae1dc | To: ^all | 
2026-02-06 10:04:58 | From: !699ae1dc | To: ^all | 
2026-02-06 10:05:58 | From: !699ae1dc | To: ^all | 
2026-02-06 10:07:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:08:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:09:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:09:59 | From: !699ae1dc | To: ^all | 
2026-02-06 10:11:20 | From: !433c5f90 | To: ^all | 
2026-02-06 10:12:02 | From: !699ae1dc | To: ^all | 
2026-02-06 10:12:17 | From: !699ae1dc | To: ^all | 
2026-02-06 10:13:19 | From: !433ecd5c | To: ^all | 
2026-02-06 10:13:51 | From: !699ae1dc | To: ^all | 
2026-02-06 10:13:56 | From: !699ae1dc | To: ^all | 
2026-02-06 10:15:01 | From: !43b79f48 | To: ^all | 
2026-02-06 10:15:39 | From: !699ae1dc | To: ^all | 
2026-02-06 10:15:57 | From: !699ae1dc | To: ^all | 
2026-02-06 10:16:16 | From: !699ae1dc | To: ^all | 
2026-02-06 10:16:59 | From: !699ae1dc | To: ^all | 
2026-02-06 10:18:02 | From: !699ae1dc | To: ^all | 
2026-02-06 10:18:57 | From: !699ae1dc | To: ^all | 
2026-02-06 10:20:01 | From: !699ae1dc | To: ^all | 
2026-02-06 10:21:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:22:03 | From: !699ae1dc | To: ^all | 
2026-02-06 10:23:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:24:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:24:59 | From: !699ae1dc | To: ^all | 
2026-02-06 10:26:00 | From: !699ae1dc | To: ^all | 
2026-02-06 10:26:52 | From: !699ae1dc | To: ^all | 
